N,K,budget_s,solver,objective_median,gap_median_pct,wall_time_median,feasible_rate,n_seeds
100,25,1.0,scip,-0.041336087784490466,80.05105331407094,1.1633401929939282,1.0,3
100,25,1.0,tabu,-0.20720937518794802,0.0,0.9743872480030404,1.0,3
100,25,3.0,ecos_bb,-0.20731089847735726,0.0757395057171831,2.734401219000574,1.0,3
100,25,3.0,neal,-0.1922311840759753,7.258500852977059,3.4625826779956697,1.0,3
100,25,3.0,scip,-0.041336087784490466,80.05749811908015,3.1661499550027656,1.0,3
100,25,3.0,tabu,-0.20727633890329025,0.0,2.43259845799912,1.0,3
100,25,10.0,ecos_bb,-0.20731089847735726,0.08257732102945663,2.464532515994506,1.0,3
100,25,10.0,neal,-0.198455317187125,6.616507373725796,8.954551737995644,1.0,3
100,25,10.0,scip,-0.20744556194909297,0.0,10.105257747003634,1.0,3
100,25,10.0,tabu,-0.20727633890329025,0.006842998165260126,7.523881339999207,1.0,3
150,38,0.5,ecos_bb,-0.2074886999859609,0.02672859812916542,10.317203331003839,1.0,3
150,38,0.5,neal,-0.18029194857124414,13.287002498377317,0.7176553780009272,1.0,3
150,38,0.5,scip,-0.08208474345068106,60.44950719965409,0.7459919600005378,1.0,3
150,38,0.5,tabu,-0.20754417363407204,0.0,0.5225153389983461,1.0,3
150,38,1.0,ecos_bb,-0.2074886999859609,0.02672859812916542,10.49123273499572,1.0,3
150,38,1.0,neal,-0.18195198712867872,12.672225675713817,1.734314542991342,1.0,3
150,38,1.0,scip,-0.08208474345068106,60.44950719965409,1.249095560000569,1.0,3
150,38,1.0,tabu,-0.20754417363407204,0.0,0.9528621249992284,1.0,3
150,38,3.0,ecos_bb,-0.2074886999859609,0.02672859812916542,9.903204784997797,1.0,3
150,38,3.0,neal,-0.18907967518208063,9.795209962414622,3.2874556340029812,1.0,3
150,38,3.0,scip,-0.08208474345068106,60.44950719965409,3.230340405003517,1.0,3
150,38,3.0,tabu,-0.20754417363407204,0.0,2.3587625459986157,1.0,3
150,38,10.0,ecos_bb,-0.2074886999859609,0.06494106154224127,9.456633856003464,1.0,3
150,38,10.0,neal,-0.18907967518208063,8.931481643751216,10.531023597992316,1.0,3
150,38,10.0,scip,-0.2076235329122456,8.61124327634126e-05,10.192338791996008,1.0,3
150,38,10.0,tabu,-0.20754417363407204,0.0,7.283398979001504,1.0,3
200,50,0.5,ecos_bb,-0.21006990491691266,0.07588062269034519,36.76244642799429,1.0,3
200,50,0.5,neal,-0.18248709531899485,13.230332793654807,1.3159103930011042,1.0,3
200,50,0.5,scip,0.12056410220174707,157.5135158710475,0.9245639309956459,0.6666666666666666,3
200,50,0.5,tabu,-0.21022942831619734,0.0,0.5426746180019109,1.0,3
200,50,1.0,ecos_bb,-0.21006990491691266,0.07588062269034519,40.670187012001406,1.0,3
200,50,1.0,neal,-0.18248709531899485,13.23364823178823,1.4217177809987334,1.0,3
200,50,1.0,scip,0.045722040477918696,121.74863949548968,1.4156244760015397,1.0,3
200,50,1.0,tabu,-0.21022942831619734,0.0,1.1581069089952507,1.0,3
200,50,3.0,ecos_bb,-0.21006990491691266,0.08213771310305072,49.176574397002696,1.0,3
200,50,3.0,neal,-0.1886919901662466,11.216243301717839,3.950546886997472,1.0,3
200,50,3.0,scip,0.007135641442574475,103.35747719426533,3.5344503430023906,1.0,3
200,50,3.0,tabu,-0.2102433082016799,0.0,2.287656885004253,1.0,3
200,50,10.0,ecos_bb,-0.21006990491691266,0.08213771310305072,42.135252600004605,1.0,3
200,50,10.0,neal,-0.1889079566744122,10.152586721789824,10.572784605996276,1.0,3
200,50,10.0,scip,-0.20970674468825448,1.3375840842932814,10.526358764996985,1.0,3
200,50,10.0,tabu,-0.2102433082474268,0.0,7.223779250001826,1.0,3
